name|address|city|state|zip_code|day|time|info
 Big Book And 12 and 12 Study| 727 South Harbor Boulevard|Anaheim|California|92805|Saturday|10:00 am - 11:00 am|Open Meeting
 Best Darn Meeting| 202 West Broadway|Anaheim|California|92805|Saturday|7:30 am - 8:30 am|Wheelchair Access, Open Meeting
 Back To Basics Speaker Meeting| 202 West Broadway|Anaheim|California|92805|Friday|7:30 pm - 8:30 pm|Wheelchair Access, Open Meeting, Speaker
 Subiaco Meeting| 405 North Subiaco Avenue |Subiaco|Arkansas|72865|Saturday|8:00 pm - 9:00 pm|Open Meeting
 Ave Fenix Group| 1829 Katella Avenue|Anaheim|California|92804|"Monday|Monday|Tuesday|Tuesday|Wednesday|Wednesday|Thursday|Thursday|Friday|Friday|Saturday|Saturday|Sunday|Sunday"|"12:00 pm - 1:00 pm|8:00 pm - 9:00 pm|12:00 pm - 1:00 pm|8:00 pm - 9:00 pm|12:00 pm - 1:00 pm|8:00 pm - 9:00 pm|12:00 pm - 1:00 pm|8:00 pm - 9:00 pm|12:00 pm - 1:00 pm|8:00 pm - 9:00 pm|12:00 pm - 1:00 pm|8:00 pm - 9:00 pm|12:00 pm - 1:00 pm|8:00 pm - 9:00 pm"|"Spanish|Spanish|Spanish|Spanish|Spanish|Spanish|Spanish|Spanish|Spanish|Spanish|Spanish|Spanish|Spanish|Spanish"
 A Way Out Speaker Participation| 1515 West North Street|Anaheim|California|92801|Thursday|7:30 pm - 8:30 pm|Open Meeting, Speaker
 Camden Group| 805 Monroe Avenue |Camden|Arkansas|71701|"Monday|Tuesday|Thursday|Friday|Saturday|Sunday"|"8:00 pm - 9:00 pm|10:00 am - 11:00 am|10:00 am - 11:00 am|8:00 pm - 9:00 pm|10:00 am - 11:00 am|10:00 am - 11:00 am"|"Literature, Open Meeting|Open Meeting|Open Meeting|Big Book, Open Meeting|Open Meeting|Open Meeting"
 Squad 17 Anoka| 2700 North Ferry Street|Anoka|Minnesota|55303|Thursday|10:00 am - 11:00 am|Closed Meeting, Wheelchair Access
 Squad 164 Group| 2700 North Ferry Street|Anoka|Minnesota|55303|Friday|6:30 pm - 7:30 pm|Closed Meeting, Wheelchair Access
 Native American Group| 1707 Mountain View Drive |Wells|Nevada|89835|Wednesday|6:00 pm - 7:00 pm|Open Meeting, Discussion
 Squad 13 Anoka| 2700 North Ferry Street|Anoka|Minnesota|55303|Saturday|9:30 am - 10:30 am|Open Meeting, Wheelchair Access
 Squad 12 Anoka| 2700 North Ferry Street|Anoka|Minnesota|55303|Tuesday|5:00 pm - 6:00 pm|Step Meeting, Closed Meeting, Wheelchair Access
 Squad 11 Candlelight| 2700 North Ferry Street|Anoka|Minnesota|55303|Saturday|8:00 pm - 9:00 pm|Open Meeting, Wheelchair Access
 Sharing and Caring| 51 East 1st North Street |Mesquite|Nevada|89027|Wednesday|10:30 am - 11:30 am|Women
 Weekend Warriors Ely| 735 Avenue N |Ely|Nevada|89301|"Friday|Saturday"|"7:00 pm - 8:00 pm|7:00 pm - 8:00 pm"|"Open Meeting, Discussion|Open Meeting, Discussion"
 Womens Meeting Wellington| 1476 Albite Road |Wellington|Nevada|89444|Wednesday|6:00 pm - 7:00 pm|Candlelight, Discussion, Open Meeting, Wheelchair Access, Women
 End of the Road Group| 4001 Carter Drive |Wellington|Nevada|89444|Thursday|7:00 pm - 8:00 pm|Discussion, Men, Open Meeting, Wheelchair Access
 Turning Point Group 8th Street| 425 8th Street |Etowah|Tennessee|37331|Thursday|8:00 pm - 9:00 pm|Closed Meeting, Non-Smoking
 The Traditions Group| 97 Resource Road|Dunlap|Tennessee|37327|"Tuesday|Thursday|Sunday"|"2:00 pm - 3:00 pm|5:00 pm - 6:00 pm|5:00 pm - 6:00 pm"|"Open Meeting, Big Book|Open Meeting|Open Meeting"
 Womens 12 Step Study| 110 South Main Street|Dickson|Tennessee|37055|Monday|6:30 pm - 7:30 pm|Open Meeting, Discussion, Literature
 Decatur Fellowship Group| 345 Main Street|Decatur|Tennessee|37322|Sunday|7:00 pm - 8:00 pm|Open Meeting
 Covington Group| 403 South Main Street|Covington|Tennessee|38019|"Monday|Tuesday|Thursday|Saturday"|"7:00 pm - 8:00 pm|7:00 pm - 8:00 pm|12:00 pm - 1:00 pm|10:00 am - 11:00 am"|"Open Meeting, Discussion, Wheelchair Access|Discussion, Open Meeting, Wheelchair Access|Discussion, Open Meeting, Wheelchair Access|Open Meeting, Discussion, Wheelchair Access"
 Lansing Group| 1416 Great River Road |Lansing|Iowa|52151|Tuesday|8:00 pm - 9:00 pm|English
 AA 24 Hours A Day| 1620 Pleasant Street |Des Moines|Iowa|50314|Wednesday|7:00 pm - 8:00 pm|Open Meeting, Smoking Permitted, Virtual
 Weekday Nooners| 855 North Ocotillo Road|Benson|Arizona|85602|"Monday|Tuesday|Wednesday|Thursday|Friday|Saturday"|"12:00 pm - 1:00 pm|12:00 pm - 1:00 pm|12:00 pm - 1:00 pm|12:00 pm - 1:00 pm|12:00 pm - 1:00 pm|12:00 pm - 1:00 pm"|"Discussion, Open Meeting|Discussion, Open Meeting|Discussion, Open Meeting|Discussion, Open Meeting|Discussion, Open Meeting, Speaker|Discussion, Open Meeting, Speaker"
 Anony Group In Riverside| 11 West 2nd Street |Riverside|Iowa|52327|Tuesday|7:00 pm - 8:00 pm|English
 Tools At Our Feet| 225 East 6th Street|Benson|Arizona|85602|Thursday|6:00 pm - 7:00 pm|Discussion, Newcomer, Open Meeting, Wheelchair Access
 South Iowa Pacific Group| 108 South Chestnut Street |Lamoni|Iowa|50140|Wednesday|7:30 pm - 8:30 pm|Open Meeting, Wheelchair Access
 The Last Resort| 3456 West Casa Blanca Road|Bapchule|Arizona|85121|Thursday|6:30 pm - 7:30 pm|Big Book, Open Meeting
 Riceville Group| 123 West Main Street |Riceville|Iowa|50466|Sunday|7:00 pm - 8:00 pm|English
 Emotional Sobriety| 225 East 6th Street|Benson|Arizona|85602|Friday|6:00 pm - 7:00 pm|Discussion, Literature, Open Meeting, Wheelchair Access
 Sisters of Serenity| 919 North Dysart Road|Avondale|Arizona|85323|Saturday|9:00 am - 10:00 am|Closed Meeting, Step Meeting, Women
 Monday Maintenance Meeting| 16751 U.S. 72 |Rogersville|Alabama|35652|Monday|5:00 pm - 6:00 pm|Closed Meeting, Discussion
 Wetumpka Group| 103 West Tuskeena Street |Wetumkpa|Alabama|36092|Monday|7:00 pm - 8:00 pm|Closed Meeting, Concurrent with Al-Anon, Discussion
 Prattville Downtown Group| 326 West 5th Street |Prattville|Alabama|36067|"Monday|Tuesday|Wednesday|Wednesday|Thursday|Friday|Saturday|Saturday|Sunday|Sunday"|"6:30 pm - 7:30 pm|6:30 pm - 7:30 pm|12:00 pm - 1:00 pm|6:30 pm - 7:30 pm|6:30 am - 7:30 am|6:30 pm - 7:30 pm|12:00 pm - 1:00 pm|6:30 pm - 7:30 pm|12:00 pm - 1:00 pm|6:30 pm - 7:30 pm"|"Open Meeting, Speaker|Open Meeting, Newcomer|Open Meeting, Discussion|Closed Meeting, Discussion|Closed Meeting, Discussion, Literature|12 Steps & 12 Traditions, Open Meeting, Speaker|Closed Meeting, Discussion|Closed Meeting, Discussion, Candlelight|Open Meeting, Discussion|Open Meeting, Step Meeting"
 Grange Meeting| 10340 North Madison Avenue Northeast|Bainbridge Island|Washington|98110|Thursday|7:30 pm - 8:30 pm|Open Meeting, Wheelchair Access, Women
 Bainbridge Island Big Book Study| 1187 Wyatt Way Northwest|Bainbridge Island|Washington|98110|Thursday|7:30 pm - 8:30 pm|Closed Meeting
 The Waterloo Group| 6790 County Road 14 |Waterloo|Alabama|35677|Thurday|7:00 pm - 8:00 pm|Discussion, Open Meeting
 Decaf Meeting | 3545 Cahaba Valley Road |Pelham|Alabama|35124|"Tuesday|Thursday"|"8:00 pm - 9:00 pm|8:00 pm - 9:00 pm"|"Discussion, Open Meeting|Discussion, Open Meeting"
 Thursday Night Women In Recovery| 27225 Military Road South|Auburn|Washington|98001|Thursday|5:30 pm - 6:30 pm|Temporary Closure
 TGIF Group| 829 William Hilton Parkway |Hilton Head Island|South Carolina|29928|Friday|5:30 pm - 6:30 pm|Closed Meeting, Discussion, Wheelchair Access, Non-Smoking
 The Feathered Healing Circle| 39015 172nd Avenue Southeast|Auburn|Washington|98092|Tuesday|5:00 pm - 6:00 pm|Temporary Closure
 Saturday Night Live| 2121 Grove Street |West Columbia|South Carolina|29169|Saturday|7:00 pm - 8:00 pm|Open Meeting, Discussion, Wheelchair Access
 T.S.A.A Trauma Survivors| 1317 Harvey Road|Auburn|Washington|98002|Friday|7:00 pm - 8:00 pm|Temporary Closure
 Long Branch Group| 3215 Platt Springs Road |West Columbia|South Carolina|29170|"Monday|Wednesday|Friday"|"12:00 pm - 1:00 pm|12:00 pm - 1:00 pm|12:00 pm - 1:00 pm"|"Closed Meeting, Discussion, Step Meeting|Closed Meeting, Discussion, Big Book|Closed Meeting, Discussion"
 Grupo Bello Despertar| 1139 B Avenue |West Columbia|South Carolina|29169|"Monday|Tuesday|Wednesday|Thursday|Friday|Saturday"|"8:00 pm - 9:00 pm|8:00 pm - 9:00 pm|8:00 pm - 9:00 pm|8:00 pm - 9:00 pm|8:00 pm - 9:00 pm|8:00 pm - 9:00 pm"|"Open Meeting, Discussion|Open Meeting, Discussion|Open Meeting, Discussion|Open Meeting, Discussion|Open Meeting, Discussion|Open Meeting, Discussion"
 Airport West Columbia| 357 Wattling Road |West Columbia|South Carolina|29170|Monday|6:00 pm - 7:00 pm|Open Meeting, Discussion, Wheelchair Access
 Smyrna A A Group| 249 Main Street |Kenton|Delaware|19955|Thursday|7:00 pm - 8:00 pm|Discussion, Open Meeting, Wheelchair Access
 Harrington Group| 190 Raughley Hill Road |Harrington |Delaware|19952|Sunday|7:00 pm - 8:00 pm|Open Meeting
 Clayton AA Group| 401 West Street |Clayton|Delaware|19938|Monday|7:00 pm - 8:00 pm|Literature, Open Meeting, Hybrid
 Smyrna A A Road 487| 1630 Road 487 |Smyrna|Delaware|19977|Tuesday|7:00 pm - 8:00 pm|Temporary Closure
 Beginners Meeting Smyrna| 22 North Union Street |Smyrna|Delaware|19977|Wednesday|7:00 pm - 8:00 pm|Temporary Closure
 Saturday Night Live Discussion| 10 East 3rd Street|Alton|Illinois|62002|Saturday|7:30 pm - 8:30 pm|Discussion, Newcomer, Open Meeting
 Steps to the Summit| 1176 Victory Highway |Coventry|Rhode Island|02816|Monday|7:30 pm - 8:30 pm|Open Meeting, Step Meeting
 North Alton Group| 504 East 12th Street|Alton|Illinois|62002|Monday|7:30 pm - 9:00 pm|Closed Meeting, Discussion, Wheelchair Access
 New Hope Group| 10 East 3rd Street|Alton|Illinois|62002|Tuesday|7:00 pm - 8:00 pm|Discussion, Open Meeting
 Give It Away To Keep It| 10 East 3rd Street|Alton|Illinois|62002|Friday|8:00 pm - 9:00 pm|Discussion, Open Meeting
 Bikers In Recovery| 830 Brown Street|Alton|Illinois|62002|Sunday|7:00 pm - 8:00 pm|Open Meeting, Discussion
 The Jamestown Step Workshop| 6 West Street |Jamestown|Rhode Island|02835|Saturday|9:00 am - 10:00 am|English, Open Meeting, Step Meeting
 Anchor 1 A| 4403 Old Post Road |Charlestown|Rhode Island|02813|Thursday|7:30 pm - 8:30 pm|Discussion, English, Open Meeting
 East Bay Sunrise| 514 Main Street |Warren|Rhode Island|02885|"Monday|Tuesday|Wednesday|Thursday|Friday"|"7:00 am - 8:00 am|7:00 am - 8:00 am|7:00 am - 8:00 am|7:00 am - 8:00 am|7:00 am - 8:00 am"|"Daily Reflections, English, Open Meeting|English, Newcomer, Open Meeting, Step Meeting|Daily Reflections, English, Open Meeting|Daily Reflections, English, Open Meeting|Daily Reflections, English, Open Meeting"
 Fruit Hill 12 and 12| 474 Fruit Hill Avenue |North Providence|Rhode Island|02911|Tuesday|7:00 pm - 8:00 pm|English, Open Meeting, Step Meeting, 12 Steps & 12 Traditions
 Bridge to Shore Group| 108 East 18th Street|Cheyenne|Wyoming|82001|Wednesday|5:30 pm - 6:30 pm|Discussion, Open Meeting
 Bad Wolf Group| 112 East 17th Street|Cheyenne|Wyoming|82001|"Tuesday|Thursday"|"5:30 pm - 6:30 pm|5:30 pm - 6:30 pm"|"Discussion, Open Meeting, Wheelchair Access|Discussion, Open Meeting, Wheelchair Access"
 Womens Meeting Casper| 500 South Wolcott Street|Casper|Wyoming|82601|Saturday|9:30 am - 10:30 am|Big Book, Open Meeting, Women
 Tuesday Night AA Meeting| 500 South Wolcott Street|Casper|Wyoming|82601|Tuesday|7:00 pm - 8:00 pm|Closed Meeting, Discussion
 South Poplar Group| 4600 South Poplar Street|Casper|Wyoming|82601|Thursday|8:00 pm - 9:00 pm|Closed Meeting, Discussion
 Keep It Simple Group| 211 South Main Street |Sheridan|Montana|59749|Wednesday|8:00 pm - 9:00 pm|Open Meeting, Discussion
 Sunday Morning Freedom Group| 2907 Pleasant Valley Boulevard|Altoona|Pennsylvania|16602|Sunday|10:00 am - 11:00 am|Discussion
 Serenity Starts Here Group| 827 19th Street|Altoona|Pennsylvania|16601|Tuesday|9:00 am - 10:00 am|Women
 Plug In The Jug Group| 827 19th Street|Altoona|Pennsylvania|16601|Monday|8:00 pm - 9:00 pm|Discussion
 Wednesday Big Book Study Group| 226 South Atlantic |Dillong|Montana|59725|Wednesday|12:00 pm - 1:00 pm|Open Meeting, Big Book
 New Life New Beginings Group| 827 19th Street|Altoona|Pennsylvania|16601|Saturday|11:00 am - 12:00 pm|Big Book
 Lucky Tuesday Night Group| 203 East Glendale Street |Dillon|Montana|59725|Tuesday|8:00 pm - 9:00 pm|Open Meeting, Discussion
 Shelby International Group| 640 Park Avenue Shelby, MT, 59474|Shelby|Montana|59474|"Wednesday|Sunday"|"7:30 pm - 8:30 pm|7:30 pm - 8:30 pm"|"Open Meeting, Discussion|Open Meeting, Discussion"
 Mountain City Group| 309 Lotz Avenue|Altoona|Pennsylvania|16602|Friday|8:00 pm - 9:00 pm|Speaker
 Deer Lodge Valley Group| 400 Railroad Street |Deer Lodge|Montana|59722|"Monday|Tuesday|Wednesday|Thursday|Saturday"|"12:00 pm - 1:00 pm|7:00 pm - 8:00 pm|7:00 pm - 8:00 pm|7:00 pm - 8:00 pm|12:00 pm - 1:00 pm"|"Open Meeting, Discussion|Closed Meeting, Discussion|Open Meeting, Discussion|Open Meeting, Discussion|Open Meeting, Big Book"
 Allegany 12 Step Group| 3236 Maple Avenue|Allegany|New York|14706|Monday|7:30 pm - 8:30 pm|Open Meeting, Step Meeting, Wheelchair Access, Wheelchair-Accessible Bathroom
 Alfred 4 Sobriety| 29 North Main Street|Alfred|New York|14802|Friday|7:00 pm - 8:00 pm|Open Meeting
 Coffee and Donuts Group| 2 Rock Street|Alexandria Bay|New York|13607|Saturday|9:00 am - 10:00 am|Big Book, Closed Meeting, Discussion, Wheelchair Access
 Serenity Sisters Portales| 718 Wylie Cox Circle |Portales|New Mexico|88130|Monday|5:30 pm - 6:30 pm|Women
 Sober on Friday| 25 Kingston Main Street |Hillsboro|New Mexico|88042|Friday|7:00 pm - 8:00 pm|Discussion, Open Meeting, Wheelchair Access
 Alex Bay Serenity Group| 54 Church Street|Alexandria Bay|New York|13607|"Monday|Wednesday|Friday"|"7:00 pm - 8:00 pm|12:00 pm - 1:00 pm|12:00 pm - 1:00 pm"|"Discussion, Open Meeting, Speaker, Wheelchair Access|Discussion, Open Meeting|Discussion, Open Meeting, Wheelchair Access"
 Alexander Group| 10540 Main Street|Alexander|New York|14005|Thursday|7:30 pm - 8:30 pm|Open Meeting, Discussion
 Living Sober Mescalero| 474 Mescal Loop |Mescalero|New Mexico|88340|Thursday|5:00 pm - 6:00 pm|Discussion, Open Meeting
 Chairpersons Choice Meeting| 1601 Virginia Street East|Charleston|West Virginia|25311|Thursday|5:30 pm - 6:30 pm|Open Meeting, Women
 Reasonably Happy Bunch Group| 110 West North Street|Charles Town|West Virginia|25414|Tuesday|7:00 pm - 8:00 pm|Closed Meeting, Discussion
 Wednesday Mens Stag Group| 215 Paseo Del Pueblo Norte |Taos|New Mexico|87571|Wednesday|5:30 pm - 6:30 pm|Closed Meeting, Men
 Live And Let Live Group| 220 East Washington Street|Charles Town|West Virginia|25414|Monday|7:30 pm - 8:30 pm|Open Meeting, Discussion
 Joy Of Living Group| 220 East Washington Street|Charles Town|West Virginia|25414|Saturday|8:00 pm - 9:00 pm|Open Meeting
 No Half Stepping| 216 West Maloney Avenue |Gallup|New Mexico|87301|Tuesday|6:00 pm - 6:45 pm|Discussion, Open Meeting, Virtual
 Silver Lake AA Group| 218 Railroad Street |Silver Lake|Kansas|66539|Tuesday|7:30 pm - 8:30 pm|Closed Meeting, Wheelchair Access
 Courage to Change| 22015 Midland Drive |Shawnee|Kansas|66226|"Tuesday|Friday"|"6:00 pm - 7:00 pm|6:00 pm - 7:00 pm"|"Closed Meeting|Closed Meeting"
 Uptown Group Bluefield| 208 Tazewell Avenue|Bluefield|West Virginia|24701|"Monday|Friday|Sunday"|"8:00 pm - 9:00 pm|8:00 pm - 9:00 pm|8:00 pm - 9:00 pm"|"Closed Meeting|Open Meeting, Discussion|Open Meeting"
 Fire House Group| 113 North Ash Street |McPherson|Kansas|67460|"Monday|Thursday|Saturday"|"8:00 pm - 9:00 pm|8:00 pm - 9:00 pm|8:00 pm - 9:00 pm"|"Closed Meeting, Non-Smoking|Closed Meeting, Non-Smoking|Closed Meeting, Non-Smoking"
 Goddard Group| 122 North Main Street |Goddard|Kansas|67052|Wednesday|8:00 pm - 9:00 pm|Open Meeting, Non-Smoking
 Severy Group| 401 South Severy Avenue |Severy|Kansas|67137|Saturday|8:00 pm - 9:00 pm|Portuguese
 First Things First| 332 Hubbard Street|Coeur d'Alene|Idaho|83814|Tuesday|7:30 pm - 8:30 pm|Closed Meeting
 Daily Reprieve Group Coeur D Alene| 425 East Borah Avenue|Coeur d'Alene|Idaho|83814|Thursday|7:00 pm - 8:00 pm|Open Meeting, Wheelchair Access, Big Book, Step Meeting
 Madras Oasis Group| 241 Southeast 7th Street |Madras|Oregon|97741|"Monday|Wednesday|Friday|Saturday|Sunday"|"12:00 pm - 1:00 pm|12:00 pm - 1:00 pm|7:00 pm - 8:00 pm|7:00 pm - 8:00 pm|7:00 pm - 8:00 pm"|"Open Meeting|Open Meeting|Open Meeting|Open Meeting|Discussion, Open Meeting"
 Daily Reprieve 2 Group| 425 East Borah Avenue|Coeur d'Alene|Idaho|83814|"Monday|Tuesday|Wednesday|Thursday|Friday|Saturday|Sunday"|"5:30 pm - 6:30 pm|5:30 pm - 6:30 pm|5:30 pm - 6:30 pm|5:30 pm - 6:30 pm|5:30 pm - 6:30 pm|5:30 pm - 6:30 pm|5:30 pm - 6:30 pm"|"Open Meeting, Wheelchair Access|Open Meeting, Wheelchair Access|Open Meeting, Wheelchair Access|Open Meeting, Wheelchair Access|Open Meeting, Wheelchair Access|Open Meeting, Wheelchair Access|Open Meeting, Wheelchair Access"
 Big Book Study North 4th Street| 4000 North 4th Street|Coeur d'Alene|Idaho|83815|Wednesday|7:00 pm - 8:00 pm|Open Meeting
 El Ultimo Refugio| 5990 SW 185th Ave |Aloha|Oregon|97007|"Friday|Saturday|Sunday"|"7:00 pm - 8:30 pm|9:00 pm - 11:00 pm|7:00 pm - 8:30 pm"|"Spanish|Spanish|Spanish"
 Big Book Study| 625 East Haycraft Avenue|Coeur d'Alene|Idaho|83815|Wednesday|7:00 pm - 8:00 pm|Open Meeting
 Disorderly Conduct Group| 18865 SW Johnson St |Aloha|Oregon|97006|Tuesday|7:00 pm - 8:00 pm|Big Book, Open Meeting
 Aloha Primary Purpose Group| 2270 SW 198th Ave |Aloha|Oregon|97006|Tuesday|7:00 pm - 8:00 pm|Big Book, Open Meeting
 Aloha Friday Night| 511 SW 211th Ave |Aloha|Oregon|97006|Friday|7:00 pm - 8:00 pm|Open Meeting, Wheelchair Access
 Lunch Break Group| 1003 Lincoln Road|Bellevue|Nebraska|68005|Monday|12:00 pm - 1:00 pm|Open Meeting, English
 Ladies Satellite Group| 104 Galvin Road North|Bellevue|Nebraska|68005|Thursday|7:30 pm - 8:30 pm|Open Meeting, Wheelchair Access, English
 Hi Nooners Group| 104 Galvin Road North|Bellevue|Nebraska|68005|Friday|12:00 pm - 1:00 pm|Open Meeting, Wheelchair Access, English
 Friday Night Foxhall Big Book Study Group| 10100 Cedar Island Road|Bellevue|Nebraska|68123|Friday|6:00 pm - 7:00 pm|Open Meeting, English
 Foxhall Mens Big Book Study Gp| 2409 Jackson Street|Bellevue|Nebraska|68005|Thursday|7:30 pm - 8:30 pm|Open Meeting, English
 After the Storm Group| 50 Luda Street |Russell Springs|Kentucky|42642|Saturday|11:00 am - 12:00 pm|Discussion, Open Meeting, Women
 BB Study Group| 5325 North Fork Road|Eden|Utah|84310|Monday|8:00 pm - 9:00 pm|Big Book, Open Meeting
 12 and 12 Study Group| 5325 North Fork Road|Eden|Utah|84310|Tuesday|8:00 pm - 9:00 pm|12 Steps & 12 Traditions, Open Meeting
 East Carbon Group| 75 Main Street|East Carbon|Utah|84520|Tuesday|7:00 pm - 8:00 pm|Smoking Permitted
 Womens Big Book Discussion| 3701 Old Brownsboro Rd |Rolling Fields|Kentucky|40207|Sunday|6:30 pm - 7:30 pm|Big Book, Discussion, Open Meeting, Speaker, Women
 A Vision For You| 198 West 5th Street |Benton|Kentucky|42025|Wednesday|6:30 pm - 7:30 pm|Literature, Speaker
 Coalville Firehouse| 2000 South Hoytsville Road|Coalville|Utah|84017|Sunday|6:00 pm - 7:00 pm|Step Meeting
 Womens Meeting| 203 East Cobblecreek Drive|Cedar City|Utah|84721|Saturday|10:30 am - 11:30 am|Wheelchair Access
 Happy Joyous And Free Group| 46 Main Street|Bethel|Connecticut|06801|"Monday|Tuesday|Wednesday|Thursday|Friday|Saturday|Sunday"|"5:30 pm - 6:30 pm|5:30 pm - 6:30 pm|5:30 pm - 6:30 pm|5:30 pm - 6:30 pm|5:30 pm - 6:30 pm|5:00 pm - 6:00 pm|5:00 pm - 6:00 pm"|"Discussion, Open Meeting|Big Book, Open Meeting|As Bill Sees It, Discussion, Newcomer, Open Meeting|Discussion, Open Meeting, Step Meeting|Discussion, Open Meeting, Speaker|Discussion, Open Meeting|Discussion, Open Meeting, Daily Reflections"
 Freedom Group Richmond| 401 West Main Street |Richmond|Kentucky|40475|"Monday|Tuesday|Thursday|Thursday|Friday"|"12:00 pm - 1:00 pm|7:59 pm - 8:59 pm|12:00 pm - 1:00 pm|6:30 am - 7:30 am|8:00 pm - 9:00 pm"|"Discussion, Open Meeting|Discussion, Open Meeting|Discussion, Open Meeting|Discussion, Open Meeting|Discussion, Open Meeting"
 Happy Hour Meeting| 15 Great Pasture Road|Bethel|Connecticut|06801|"Saturday|Sunday"|"5:30 pm - 6:30 pm|5:30 pm - 6:30 pm"|"Discussion, Newcomer, Open Meeting, Wheelchair Access, Wheelchair-Accessible Bathroom|Discussion, Newcomer, Open Meeting, Wheelchair Access, Wheelchair-Accessible Bathroom"
 Shiloh Group| 12700 West U.S. Highway 42 |Prospect|Kentucky|40059|Thursday|8:00 pm - 9:00 pm|Discussion, Open Meeting
 Happy Hour Group| 15 Great Pasture Road|Bethel|Connecticut|06801|"Monday|Tuesday|Wednesday|Thursday|Friday"|"5:30 pm - 6:30 pm|5:30 pm - 6:30 pm|5:30 pm - 6:30 pm|5:30 pm - 6:30 pm|5:30 pm - 6:30 pm"|"Daily Reflections, Discussion, Open Meeting, Wheelchair Access, Wheelchair-Accessible Bathroom|Discussion, Open Meeting, Speaker, Wheelchair Access, Wheelchair-Accessible Bathroom|Discussion, Open Meeting, Wheelchair Access, Wheelchair-Accessible Bathroom|Discussion, Newcomer, Open Meeting, Wheelchair Access, Wheelchair-Accessible Bathroom|Discussion, Open Meeting, Wheelchair Access, Wheelchair-Accessible Bathroom"
 Group 440| 5252 S Lindbergh Blvd |Sappington|Missouri|63126|Thursday|7:30 pm - 8:30 pm|Closed Meeting, Wheelchair Access
 Friday Night Early Group| 141 Greenwood Avenue|Bethel|Connecticut|06801|Friday|7:30 pm - 8:30 pm|Closed Meeting, Discussion
 Group 324| 12145 Tesson Ferry Rd |Sappington|Missouri|63128|Tuesday|7:00 pm - 8:00 pm|Closed Meeting, Wheelchair Access
 Early Ducks Kennerly Road| 10020 Kennerly Rd |Sappington|Missouri|63128|Sunday|8:00 am - 9:00 am|Discussion, Open Meeting, Wheelchair Access
 Thursday Night Mens| 215 North Central Avenue |Eureka|Missouri|63025|Thursday|8:00 pm - 9:00 pm|Closed Meeting, Discussion, Men
 Early Bird Group| 46 Main Street|Bethel|Connecticut|06801|"Monday|Tuesday|Wednesday|Thursday|Friday|Saturday|Sunday"|"7:30 am - 8:30 am|7:30 am - 8:30 am|7:30 am - 8:30 am|7:30 am - 8:30 am|7:30 am - 8:30 am|7:30 am - 8:30 am|7:30 am - 8:30 am"|"Open Meeting, Speaker|Daily Reflections, Discussion, Open Meeting|Daily Reflections, Discussion, Literature, Open Meeting|Daily Reflections, Discussion, Open Meeting|Discussion, Open Meeting, Step Meeting|Discussion, Open Meeting, Step Meeting, 12 Steps & 12 Traditions|Big Book, Open Meeting"
 Bel Ray AA Group| 8603 East 171st Street |Belton|Missouri|64012|Wednesday|7:00 pm - 8:00 pm|Closed Meeting
 Clean Livers Meeting| 5717 Arapahoe Avenue|Boulder|Colorado|80303|"Monday|Tuesday|Wednesday|Thursday|Friday|Saturday|Sunday"|"4:00 pm - 5:00 pm|4:00 pm - 5:00 pm|4:00 pm - 5:00 pm|4:00 pm - 5:00 pm|4:00 pm - 5:00 pm|4:00 pm - 5:00 pm|4:00 pm - 5:00 pm"|"Open Meeting, Step Meeting|Open Meeting Step Meeting|Open Meeting Step Meeting|Open Meeting Step Meeting|Open Meeting Step Meeting|Discussion, Open Meeting|Discussion, Open Meeting"
 Madison AA Group| 412 West Main Street |Madison|Indiana|47250|Tuesday|7:00 pm - 8:00 pm|Discussion, Open Meeting
 Hilltop Group Madison| 2632 Michigan Road |Madison|Indiana|47250|"Tuesday|Thursday"|"11:00 am - 12:00 pm|11:00 am - 12:00 pm"|"Discussion, Open Meeting|Discussion, Open Meeting"
 Hump Day Meeting| 375 Meadowlark Drive|Berthoud|Colorado|80513|Wednesday|7:00 pm - 8:00 pm|Open Meeting
 Happy Joyous and Free Basalt| 200 Elk Run Drive|Basalt|Colorado|81621|Sunday|6:00 pm - 7:00 pm|Discussion, Open Meeting, Wheelchair Access
 Hearts of Hope| 800 Bus Stop Drive |Madison|Indiana|47250|Wednesday|6:00 pm - 7:00 pm|Closed Meeting, Discussion, Women
 V A New Beginnings| 1700 North Wheeling Street|Aurora|Colorado|80045|Friday|7:00 pm - 8:00 pm|Open Meeting, Wheelchair Access
 Spring Valley Wesleyan Church| 821 South Indiana Avenue |French Lick|Indianan|47432|Sunday|7:00 pm - 8:00 pm|Discussion
 Our Lady of Springs Church| 8796 Indiana 56 |French Lick|Indiana|47432|Wednesday|7:00 pm - 8:00 pm|Discussion, Open Meeting
 How Now Group| 1458 County Street |Somerset|Massachusetts|02726|Friday|7:30 pm - 8:30 pm|Open Meeting
 Smoky Hill Promises| 21755 East Smoky Hill Road|Aurora|Colorado|80015|Tuesday|7:00 pm - 8:00 pm|Open Meeting, Wheelchair Access
 Womens BBSS| 27 Church Street |Mattapoisett|Massachusetts|02739|Thursday|9:30 am - 10:30 am|Open Meeting, Big Book, Step Meeting, Women
 Candlelight Shrewsbury| 130 Boston Turnpike |Shrewsbury|Massachusetts|01545|Wednesday|7:00 pm - 8:00 pm|Closed Meeting, Step Meeting, 12 Steps & 12 Traditions, Big Book
